source_state,vm_count,mode,round,application_ready_seconds_baseline,application_ready_seconds_variant,application_ready_seconds_improvement_percent,first_operation_seconds_baseline,first_operation_seconds_variant,first_operation_seconds_improvement_percent,held_memory_bytes_baseline,held_memory_bytes_variant,held_memory_bytes_improvement_percent,held_anon_bytes_baseline,held_anon_bytes_variant,held_anon_bytes_improvement_percent,held_file_bytes_baseline,held_file_bytes_variant,held_file_bytes_improvement_percent,held_shmem_bytes_baseline,held_shmem_bytes_variant,held_shmem_bytes_improvement_percent,launch_memory_growth_bytes_baseline,launch_memory_growth_bytes_variant,launch_memory_growth_bytes_improvement_percent,launch_cpu_usec_baseline,launch_cpu_usec_variant,launch_cpu_usec_improvement_percent,launch_io_wbytes_baseline,launch_io_wbytes_variant,launch_io_wbytes_improvement_percent,total_pss_kib_baseline,total_pss_kib_variant,total_pss_kib_improvement_percent
plaintext-cold,4,lazy-pmem,1,0.975695101,1.334337672,-36.757648022668505,0.003582308,0.00341156,4.766424327556427,326897664.0,323022848.0,1.185329975316067,100421632.0,96309248.0,4.095117673451075,209260544.0,209895424.0,-0.3033921196343636,197599232.0,209018880.0,-5.7791965507234355,317251584.0,313774080.0,1.0961344798202803,1826663.0,4051515.0,-121.79871163974964,11649024.0,770048.0,93.38959212376933,281566.0,281032.0,0.1896535803328527
plaintext-cold,4,lazy-pmem,2,1.361218623,0.793719364,41.690530045003655,0.003876802,0.003259099,15.933313076086936,322576384.0,319938560.0,0.8177362419686619,95174656.0,93241344.0,2.0313306937510758,209760256.0,209866752.0,-0.050770342309269495,198115328.0,208998400.0,-5.493301356268607,312946688.0,310009856.0,0.9384448254649687,1875372.0,1815116.0,3.21301587098453,11649024.0,770048.0,93.38959212376933,281460.0,278382.0,1.0935834576849286
plaintext-cold,4,lazy-pmem,3,0.913910825,0.711016194,22.20070333448561,0.004932671,0.003212788,34.867174396995054,320565248.0,325521408.0,-1.5460690236765777,93581312.0,98299904.0,-5.04223749288747,210006016.0,209784832.0,0.10532269704121239,198225920.0,208887808.0,-5.37865481971278,310857728.0,316141568.0,-1.699761506331282,1857457.0,1789900.0,3.6370693911083807,11649024.0,770048.0,93.38959212376933,279497.0,279804.0,-0.10984017717542585
plaintext-cold,4,lazy-pmem,4,0.862860739,0.702390747,18.597438120312944,0.002614894,0.002783909,-6.463550721367682,321036288.0,324210688.0,-0.9887978769552681,93818880.0,97009664.0,-3.4010041475660335,210042880.0,209887232.0,0.07410296411856475,198356992.0,208998400.0,-5.364775848183864,311468032.0,313618432.0,-0.6904079324583783,1774497.0,1808113.0,-1.894395989398686,11649024.0,770048.0,93.38959212376933,279121.0,281158.0,-0.729791022531447
plaintext-cold,4,lazy-pmem,5,1.157626933,0.724106738,37.44904188403156,0.003517651,0.003285391,6.602701632424597,329547776.0,324984832.0,1.3846077359053397,102338560.0,98643968.0,3.610166099659796,210333696.0,209793024.0,0.2570543903721446,198639616.0,208887808.0,-5.159188386671066,320126976.0,315543552.0,1.431751880853677,3049159.0,1755876.0,42.41441656535458,11649024.0,770048.0,93.38959212376933,283656.0,279230.0,1.5603406943621851
plaintext-cold,4,lazy-pmem,6,1.014454889,0.640763801,36.83663926824449,0.004816741,0.003435638,28.672976188671974,322576384.0,323764224.0,-0.3682352642405465,95641600.0,96931840.0,-1.3490364025695931,210034688.0,209776640.0,0.12285970591676744,198377472.0,208887808.0,-5.298149983481995,313315328.0,313749504.0,-0.13857477154772332,1824153.0,1770286.0,2.952986947915005,11649024.0,770048.0,93.38959212376933,281263.0,278998.0,0.8052961107575471
plaintext-cold,4,lazy-pmem,7,0.941193812,0.671776748,28.625035626562322,0.002820261,0.003725963,-32.11411993428977,329588736.0,330997760.0,-0.4275097556732036,103526400.0,105365504.0,-1.7764589515331355,209141760.0,209141760.0,0.0,197468160.0,208240640.0,-5.455299730346401,319262720.0,321355776.0,-0.655590480466996,1893185.0,1800418.0,4.900049387672097,11649024.0,770048.0,93.38959212376933,284460.0,279936.0,1.590381775996625
plaintext-cold,4,lazy-pmem,8,0.852853206,0.736066603,13.693634751957534,0.004913258,0.002876531,41.45369528732259,325300224.0,323190784.0,0.6484594366587341,98394112.0,96776192.0,1.6443260344684039,209874944.0,209911808.0,-0.017564745603934503,198225920.0,209018880.0,-5.444777353032338,315838464.0,313794560.0,0.6471358725959356,1925787.0,1822222.0,5.3778013871731405,11649024.0,770048.0,93.38959212376933,280112.0,279596.0,0.1842120294739247
plaintext-cold,4,lazy-pmem,9,0.99977048,0.669028039,33.081837043238174,0.005172826,0.003584193,30.711123861502404,334389248.0,323850240.0,3.1517185624341604,107245568.0,98455552.0,8.19615781232097,210010112.0,208977920.0,0.49149633328132314,198356992.0,208109568.0,-4.9166787122886,324382720.0,313720832.0,3.2868236631100443,1778256.0,1824380.0,-2.593777273913317,11649024.0,770048.0,93.38959212376933,278935.0,280788.0,-0.6643124742323481
plaintext-cold,4,lazy-pmem,10,0.961753304,0.673571068,29.964257445379154,0.002974936,0.003405469,-14.472008809601277,326766592.0,324169728.0,0.7947152688118129,99299328.0,97742848.0,1.567462772759147,209891328.0,209018880.0,0.4156665300626427,198225920.0,208109568.0,-4.9860522781279055,316837888.0,313937920.0,0.9152844750688403,1924577.0,1890376.0,1.7770658175796552,11649024.0,770048.0,93.38959212376933,280240.0,278601.0,0.5848558378532687
plaintext-cold,4,vhost-user-blk-shared-cache,1,0.966626306,0.808497748,16.35880970944733,0.004125342,0.002968934,28.03180924151258,356728832.0,355663872.0,0.2985348826528269,111927296.0,111276032.0,0.5818634267730367,227491840.0,227524608.0,-0.014404033129276198,215007232.0,226590720.0,-5.38748761716071,347000832.0,345415680.0,0.4568150430256029,2135960.0,2035791.0,4.689647746212476,12468224.0,770048.0,93.82391590013141,305929.0,301520.0,1.4411840655838446
plaintext-cold,4,vhost-user-blk-shared-cache,2,1.106140191,0.71851907,35.042675797682854,0.003438385,0.002856281,16.92957594917381,358146048.0,347664384.0,2.9266451657174226,113848320.0,103723008.0,8.893685914732865,227450880.0,227442688.0,0.003601656762110571,215007232.0,226590720.0,-5.38748761716071,349503488.0,338509824.0,3.1455090943183945,2094205.0,2033894.0,2.879899532280746,12468224.0,770048.0,93.82391590013141,305415.0,294468.0,3.584303324984038
plaintext-cold,4,vhost-user-blk-shared-cache,3,1.103006741,0.812441291,26.343034833728186,0.002865801,0.003119653,-8.857977228705,357257216.0,347512832.0,2.7275541440708087,112672768.0,102895616.0,8.677475643449178,227479552.0,227753984.0,-0.12064029385814863,215007232.0,226590720.0,-5.38748761716071,347734016.0,338075648.0,2.7775160196004522,2193791.0,2096594.0,4.4305496740573735,12468224.0,770048.0,93.82391590013141,304247.0,296846.0,2.432563016233521
plaintext-cold,4,vhost-user-blk-shared-cache,4,0.944680962,0.701050375,25.789721270999845,0.002951851,0.00363884,-23.273159790246858,358252544.0,347594752.0,2.9749382603128143,113868800.0,103579648.0,9.035971223021583,227487744.0,227487744.0,0.0,215007232.0,226590720.0,-5.38748761716071,348557312.0,337780736.0,3.091765867186857,2043935.0,1986886.0,2.791135725940404,12468224.0,770048.0,93.82391590013141,305140.0,293260.0,3.8932948810382118
plaintext-cold,4,vhost-user-blk-shared-cache,5,1.199099577,0.812949316,32.20335228256027,0.003191195,0.003159692,0.9871850513679046,358043648.0,358486016.0,-0.12355141683731252,113291264.0,113610752.0,-0.28200585704472325,227483648.0,227495936.0,-0.005401706939392848,215007232.0,226590720.0,-5.38748761716071,347942912.0,348626944.0,-0.1965931698588532,2131623.0,2165960.0,-1.6108383142797764,12468224.0,770048.0,93.82391590013141,304549.0,304403.0,0.04793974040302217
plaintext-cold,4,vhost-user-blk-shared-cache,6,0.949281375,0.841187973,11.38686640723357,0.003772355,0.003387373,10.205349178430977,355196928.0,357642240.0,-0.6884383864941535,110256128.0,110776320.0,-0.471803254327959,228007936.0,229580800.0,-0.6898286207020443,215531520.0,228687872.0,-6.104142911440516,345690112.0,347934720.0,-0.6493121793428677,2195246.0,2421830.0,-10.321576716231347,12468224.0,770048.0,93.82391590013141,300995.0,307044.0,-2.0096679346833004
plaintext-cold,4,vhost-user-blk-shared-cache,7,0.94641852,0.792638135,16.248666076399267,0.003465006,0.005067839,-46.25772653784727,353550336.0,352149504.0,0.39621854580842486,108183552.0,107057152.0,1.0411933969407845,227487744.0,227491840.0,-0.0018005365598948485,215007232.0,226590720.0,-5.38748761716071,343830528.0,342335488.0,0.43481886518232615,2062001.0,2045095.0,0.8198832105319057,12468224.0,770048.0,93.82391590013141,301910.0,302692.0,-0.25901758802292074
plaintext-cold,4,vhost-user-blk-shared-cache,8,1.045221869,0.778069707,25.55937355727102,0.003677075,0.002925689,20.43433979453778,347983872.0,351199232.0,-0.923996845462999,103002112.0,106938368.0,-3.8215294070863326,227487744.0,227491840.0,-0.0018005365598948485,215007232.0,226590720.0,-5.38748761716071,338288640.0,341544960.0,-0.9625862695241554,2068179.0,1985165.0,4.0138692057118845,12468224.0,770048.0,93.82391590013141,300318.0,299081.0,0.4118967228071578
plaintext-cold,4,vhost-user-blk-shared-cache,9,0.969011326,0.817786247,15.606120892750013,0.003485518,0.004210141,-20.789535443512264,358133760.0,354820096.0,0.9252587636529993,113360896.0,110424064.0,2.5906922965746495,227475456.0,227495936.0,-0.009003169115528665,215007232.0,226590720.0,-5.38748761716071,348303360.0,344834048.0,0.9960604456988299,2174140.0,2047865.0,5.808043640243959,12468224.0,770048.0,93.82391590013141,306112.0,304936.0,0.38417311310892743
plaintext-cold,4,vhost-user-blk-shared-cache,10,0.964026051,0.83998803,12.866666919564402,0.003482881,0.003082448,11.497177193248932,354623488.0,344358912.0,2.894499757444154,109199360.0,100753408.0,7.734433608402101,227487744.0,227491840.0,-0.0018005365598948485,215007232.0,226590720.0,-5.38748761716071,344707072.0,335196160.0,2.75912877122521,2090346.0,2311336.0,-10.571934024319418,12468224.0,770048.0,93.82391590013141,304046.0,295763.0,2.7242588292560996
plaintext-cold,8,lazy-pmem,1,2.089332099,0.95498958,54.292111797015,0.00344221,0.003147784,8.553400286443884,593174528.0,595111936.0,-0.3266168570205361,156729344.0,157638656.0,-0.5801798034706251,406593536.0,407949312.0,-0.3334475046843834,393994240.0,406224896.0,-3.1042727934296703,583135232.0,585355264.0,-0.38070620298243274,10744376.0,3903230.0,63.6718781993482,12419072.0,1540096.0,87.59894459102902,528237.0,528496.0,-0.04903102206017375
plaintext-cold,8,lazy-pmem,2,1.19463804,1.00035587,16.262848117577114,0.003294679,0.00322405,2.1437293284110535,591577088.0,590893056.0,0.11562854848090398,152965120.0,152965120.0,0.0,408092672.0,408899584.0,-0.19772763770676088,395563008.0,407003136.0,-2.892112702308099,582066176.0,580792320.0,0.21885071707035594,4048043.0,3721442.0,8.06812081788657,12419072.0,1540096.0,87.59894459102902,530084.0,526407.0,0.6936636457618037
plaintext-cold,8,lazy-pmem,3,1.118370613,0.952375578,14.842578396683964,0.002851673,0.003247917,-13.895141553747573,592596992.0,595066880.0,-0.4167905057472853,154402816.0,157372416.0,-1.9232809847198642,408866816.0,408813568.0,0.013023311727993108,396341248.0,407003136.0,-2.690077819001065,581558272.0,585285632.0,-0.6409263146032596,3754741.0,3714133.0,1.0815126795696426,12419072.0,1540096.0,87.59894459102902,527752.0,530365.0,-0.4951189194924889
plaintext-cold,8,lazy-pmem,4,1.127903387,0.969268366,14.064593016422952,0.003214742,0.003366812,-4.730395160793613,592797696.0,584073216.0,1.4717466108370298,153841664.0,146362368.0,4.861684283394126,409006080.0,408739840.0,0.06509438686094837,396341248.0,407003136.0,-2.690077819001065,583098368.0,573964288.0,1.5664732575619214,3633531.0,3702500.0,-1.898126092773118,12419072.0,1540096.0,87.59894459102902,526501.0,525980.0,0.09895517767297687
plaintext-cold,8,lazy-pmem,5,1.068916374,2.733737806,-155.74851994923225,0.003312584,0.0034261,-3.426811214447698,597585920.0,591069184.0,1.0905102985023476,160010240.0,156467200.0,2.214258287469602,408100864.0,405622784.0,0.6072224341088384,395563008.0,403877888.0,-2.1020368011763124,586973184.0,581038080.0,1.0111371629542791,3851349.0,18824696.0,-388.78187876507684,12419072.0,1540096.0,87.59894459102902,528163.0,525691.0,0.4680373293850573
plaintext-cold,8,lazy-pmem,6,1.030674954,0.960281312,6.829858601570324,0.002921822,0.003269819,-11.910273794912902,596897792.0,601591808.0,-0.7864019708084294,158027776.0,163057664.0,-3.182913869521267,408752128.0,408748032.0,0.0010020742937881413,396230656.0,407003136.0,-2.718739662586834,586686464.0,591384576.0,-0.8007875225156039,3672952.0,3657147.0,0.43030782868929407,12419072.0,1540096.0,87.59894459102902,527958.0,532807.0,-0.9184442701881589
plaintext-cold,8,lazy-pmem,7,2.430285064,0.969262913,60.11731597425477,0.003336742,0.003154472,5.4625140331497,589185024.0,586289152.0,0.49150468563165656,152092672.0,148779008.0,2.1787137778735324,407662592.0,407990272.0,-0.0803801983381394,395038720.0,406224896.0,-2.831665716211312,579461120.0,576774144.0,0.46370255177776204,15553846.0,3780420.0,75.6946288397095,12419072.0,1540096.0,87.59894459102902,526831.0,523897.0,0.556914836066974
plaintext-cold,8,lazy-pmem,8,1.117598715,1.744719792,-56.11326038434108,0.003158851,0.0063529,-101.11426591504315,595587072.0,585256960.0,1.7344419457110045,157868032.0,147513344.0,6.559078407970525,408084480.0,407900160.0,0.045167118337850046,395563008.0,406069248.0,-2.656021869466621,585302016.0,575090688.0,1.7446254618743704,3700282.0,9824250.0,-165.5000348622078,12419072.0,1540096.0,87.59894459102902,532848.0,524280.0,1.6079632465543645
plaintext-cold,8,lazy-pmem,9,1.780629599,0.943727505,47.00034720696564,0.003511569,0.003020387,13.987536625366046,593760256.0,592715776.0,0.1759093825235753,159031296.0,154660864.0,2.748158450522846,404877312.0,408854528.0,-0.9823262213319575,392327168.0,407003136.0,-3.740747314241567,584314880.0,582660096.0,0.28320072903157967,8987749.0,3814954.0,57.553843570842936,12419072.0,1540096.0,87.59894459102902,526805.0,528677.0,-0.35534970245157127
plaintext-cold,8,lazy-pmem,10,1.787072979,0.964170537,46.0475006712079,0.003701674,0.003150955,14.87756620383102,588480512.0,591032320.0,-0.4336265939083468,152190976.0,154820608.0,-1.7278501453331898,406491136.0,407175168.0,-0.16827722413115545,393863168.0,405446656.0,-2.9409929491045985,578519040.0,580907008.0,-0.4127725856697819,9820969.0,3825727.0,61.04532047703236,12419072.0,1540096.0,87.59894459102902,525083.0,526951.0,-0.3557532809098752
plaintext-cold,8,vhost-user-blk-shared-cache,1,1.341886789,1.07719193,19.725573063973282,0.003676806,0.00342135,6.947769341107469,647794688.0,659091456.0,-1.7438809254329668,174112768.0,185851904.0,-6.7422602804178045,443490304.0,443285504.0,0.04617913811256627,430014464.0,441597952.0,-2.693743808580355,637435904.0,648982528.0,-1.8114172621189535,4350032.0,4302147.0,1.100796499887817,13238272.0,1540096.0,88.36633663366337,579141.0,583214.0,-0.7032829656335849
