source_state,vm_count,cache_backing,round,application_ready_seconds_baseline,application_ready_seconds_variant,application_ready_seconds_improvement_percent,first_operation_seconds_baseline,first_operation_seconds_variant,first_operation_seconds_improvement_percent,held_memory_bytes_baseline,held_memory_bytes_variant,held_memory_bytes_improvement_percent,held_anon_bytes_baseline,held_anon_bytes_variant,held_anon_bytes_improvement_percent,held_file_bytes_baseline,held_file_bytes_variant,held_file_bytes_improvement_percent,held_shmem_bytes_baseline,held_shmem_bytes_variant,held_shmem_bytes_improvement_percent,launch_memory_growth_bytes_baseline,launch_memory_growth_bytes_variant,launch_memory_growth_bytes_improvement_percent,launch_cpu_usec_baseline,launch_cpu_usec_variant,launch_cpu_usec_improvement_percent,launch_io_wbytes_baseline,launch_io_wbytes_variant,launch_io_wbytes_improvement_percent,total_pss_kib_baseline,total_pss_kib_variant,total_pss_kib_improvement_percent
plaintext-cold,4,file,10,0.964026051,0.961753304,0.2357557658989051,0.003482881,0.002974936,14.58404694274654,354623488.0,326766592.0,7.855344313797962,109199360.0,99299328.0,9.066016504126031,227487744.0,209891328.0,7.73510506130827,215007232.0,198225920.0,7.804998856968681,344707072.0,316837888.0,8.084888957543638,2090346.0,1924577.0,7.930218250949843,12468224.0,11649024.0,6.57030223390276,304046.0,280240.0,7.829736289903501
plaintext-cold,4,memfd,1,0.808497748,1.334337672,-65.03913279916767,0.002968934,0.00341156,-14.908583350118265,355663872.0,323022848.0,9.177492168785701,111276032.0,96309248.0,13.450141716052563,227524608.0,209895424.0,7.748253762511702,226590720.0,209018880.0,7.754880694143167,345415680.0,313774080.0,9.160441124155106,2035791.0,4051515.0,-99.0142897772905,770048.0,770048.0,0.0,301520.0,281032.0,6.79490581055983
plaintext-cold,4,memfd,2,0.71851907,0.793719364,-10.466012266034907,0.002856281,0.003259099,-14.102884134999327,347664384.0,319938560.0,7.974881890691455,103723008.0,93241344.0,10.105437744343087,227442688.0,209866752.0,7.727632905921338,226590720.0,208998400.0,7.763919016630513,338509824.0,310009856.0,8.419243986254296,2033894.0,1815116.0,10.75660776815311,770048.0,770048.0,0.0,294468.0,278382.0,5.462732792697339
plaintext-cold,4,memfd,3,0.812441291,0.711016194,12.483990920151289,0.003119653,0.003212788,-2.9854281870451564,347512832.0,325521408.0,6.328233657858136,102895616.0,98299904.0,4.466382707694757,227753984.0,209784832.0,7.889720164016978,226590720.0,208887808.0,7.812725958062183,338075648.0,316141568.0,6.487920715306888,2096594.0,1789900.0,14.628201740537271,770048.0,770048.0,0.0,296846.0,279804.0,5.741023965288399
plaintext-cold,4,memfd,4,0.701050375,0.702390747,-0.19119481963047721,0.00363884,0.002783909,23.494602675577923,347594752.0,324210688.0,6.727392708161485,103579648.0,97009664.0,6.3429294527048405,227487744.0,209887232.0,7.736905597868164,226590720.0,208998400.0,7.763919016630513,337780736.0,313618432.0,7.15325103679092,1986886.0,1808113.0,8.99764757515026,770048.0,770048.0,0.0,293260.0,281158.0,4.126713496555958
plaintext-cold,4,memfd,5,0.812949316,0.724106738,10.928427670883229,0.003159692,0.003285391,-3.9782042047136223,358486016.0,324984832.0,9.345185726854126,113610752.0,98643968.0,13.17373904892382,227495936.0,209793024.0,7.781638789362813,226590720.0,208887808.0,7.812725958062183,348626944.0,315543552.0,9.489625678501774,2165960.0,1755876.0,18.933128958983545,770048.0,770048.0,0.0,304403.0,279230.0,8.26962940575487
plaintext-cold,4,memfd,6,0.841187973,0.640763801,23.826324012361987,0.003387373,0.003435638,-1.4248504667186055,357642240.0,323764224.0,9.472599209757773,110776320.0,96931840.0,12.497689036790534,229580800.0,209776640.0,8.626226583407671,228687872.0,208887808.0,8.658117208769164,347934720.0,313749504.0,9.825180999470245,2421830.0,1770286.0,26.902961809871044,770048.0,770048.0,0.0,307044.0,278998.0,9.13419575044619
plaintext-cold,4,memfd,7,0.792638135,0.671776748,15.247990433869301,0.005067839,0.003725963,26.478268153348992,352149504.0,330997760.0,6.006467071440203,107057152.0,105365504.0,1.580135440180587,227491840.0,209141760.0,8.06625855239467,226590720.0,208240640.0,8.098336948662329,342335488.0,321355776.0,6.128406997056642,2045095.0,1800418.0,11.964089687765115,770048.0,770048.0,0.0,302692.0,279936.0,7.517872953365138
plaintext-cold,4,memfd,8,0.778069707,0.736066603,5.398372873550256,0.002925689,0.002876531,1.6802195995541596,351199232.0,323190784.0,7.975088054862262,106938368.0,96776192.0,9.502834380266584,227491840.0,209911808.0,7.7277637738566805,226590720.0,209018880.0,7.754880694143167,341544960.0,313794560.0,8.124962523235595,1985165.0,1822222.0,8.208033085411035,770048.0,770048.0,0.0,299081.0,279596.0,6.514957486433441
plaintext-cold,4,memfd,9,0.817786247,0.669028039,18.190353352812018,0.004210141,0.003584193,14.8676255735853,354820096.0,323850240.0,8.728326368526771,110424064.0,98455552.0,10.83868095997626,227495936.0,208977920.0,8.139932662357538,226590720.0,208109568.0,8.156182212581346,344834048.0,313720832.0,9.02266356250297,2047865.0,1824380.0,10.913072883222283,770048.0,770048.0,0.0,304936.0,280788.0,7.919038749114568
