source_state,vm_count,comparison,left_mode,baseline_mode,metric,unit,rounds,left_median,left_p95,baseline_median,baseline_p95,paired_delta_median,paired_delta_ci_low,paired_delta_ci_high,improvement_pct_median,improvement_pct_ci_low,improvement_pct_ci_high,left_better_rounds,equal_rounds
plaintext-cold,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,total_pss_mib,MiB,10,91.7041015625,93.4041015625,93.10498046875,94.845703125,-1.10009765625,-3.5908203125,1.17822265625,1.1816793286094205,-1.3169827754129313,3.786388771611867,6,0
plaintext-cold,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_cpu_seconds,s,10,0.693596,0.769815,0.785263,0.8269058499999999,-0.10692599999999997,-0.13473849999999998,-0.032301000000000024,13.488312098935012,4.219655671080842,16.521607881796086,8,0
plaintext-cold,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_io_read_mib,MiB,10,0.0,0.008593749999999983,0.0,0.09199218749999982,0.0,-0.001953125,0.0,95.23809523809524,90.47619047619048,100.0,2,8
plaintext-cold,1,pmem_vs_shared,lazy-pmem,vhost-user-blk-shared-cache,app_ready_io_write_mib,MiB,10,10.55859375,10.55859375,11.33984375,11.33984375,-0.78125,-0.78125,-0.78125,6.889424733034792,6.889424733034792,6.889424733034792,10,0
plaintext-cold,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,application_ready_seconds,s,10,0.9693818775,1.2329969414000002,1.4678714785,1.6483654940999997,-0.4733929545000001,-0.589137264,-0.315909851,33.14809436627861,21.46708170834433,38.83505691412687,10,0
plaintext-cold,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,first_operation_ms,ms,10,3.325393,20.691824449999967,5.865116,9.2502098,-2.4211055,-4.4122375,-2.2491399999999997,43.33570000323273,40.90606462828441,56.47056012421487,9,0
plaintext-cold,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,held_memory_mib,MiB,10,341.509765625,348.058984375,435.978515625,438.6341796875,-93.009765625,-98.068359375,-89.2890625,21.404814005501088,20.424246756495943,22.453934375736054,10,0
plaintext-cold,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,total_pss_mib,MiB,10,296.935546875,304.3818359375,409.09423828125,414.539453125,-112.42529296875,-114.98974609375,-108.134765625,27.552868472860624,26.42985693076633,28.20959186715846,10,0
plaintext-cold,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_cpu_seconds,s,10,2.163927,2.3110537,7.8720935,9.3718404,-5.7224355,-6.1385725,-5.230106,72.56074680038377,70.58955671810594,73.98644647961547,10,0
plaintext-cold,4,shared_vs_current,vhost-user-blk-shared-cache,vhost-user-blk,app_ready_io_read_mib,MiB,10,0.0,0.012890624999999975,0.0,0.12929687499999998,0.0,-0.0625,0.0,100.0,82.35294117647058,100.0,3,7
